2024-04-26 18:20:10.304 [main] INFO  com.tfm.digital_signature - Firma correcta.
2024-04-26 18:20:10.306 [main] INFO  com.tfm.digital_signature - Recepción de fichero "20240425_232122.jpg" de usuario "pepe@mail.com" por canal "F".
2024-04-26 18:20:44.159 [main] INFO  com.tfm.digital_signature - Firma correcta.
2024-04-26 18:20:44.161 [main] INFO  com.tfm.digital_signature - Recepción de fichero "20240425_232122.jpg" de usuario "pepe@mail.com" por canal "F".
2024-04-26 18:20:45.277 [main] INFO  com.tfm.digital_signature - Firma correcta.
2024-04-26 18:20:45.280 [main] INFO  com.tfm.digital_signature - Recepción de fichero "20240425_232122.jpg" de usuario "pepe@mail.com" por canal "F".
2024-04-26 18:20:51.923 [main] INFO  com.tfm.digital_signature - Firma correcta.
2024-04-26 18:20:51.925 [main] INFO  com.tfm.digital_signature - Recepción de fichero "DSSR_EXA_17ene23_SOL.pdf" de usuario "pepe@mail.com" por canal "F".
2024-04-26 18:22:22.000 [main] INFO  com.tfm.digital_signature - Firma correcta.
2024-04-26 18:22:22.001 [main] INFO  com.tfm.digital_signature - Recepción de fichero "VID-20240418-WA0001.mp4" de usuario "pepe@mail.com" por canal "F".
2024-04-26 18:23:03.623 [main] INFO  com.tfm.digital_signature - Envío de fichero "20240425_232122.jpg" a usuario "pepe2@mail.com" por canal "F".
2024-04-26 18:25:05.908 [main] INFO  com.tfm.digital_signature - Firma correcta.
2024-04-26 18:25:05.914 [main] INFO  com.tfm.digital_signature - Recepción de fichero "20240425_232122.jpg" de usuario "pepe@mail.com" por canal "F".
2024-04-26 18:25:12.125 [main] INFO  com.tfm.digital_signature - Firma correcta.
2024-04-26 18:25:12.127 [main] INFO  com.tfm.digital_signature - Recepción de fichero "DSSR_EXA_17ene23_SOL.pdf" de usuario "pepe@mail.com" por canal "F".
2024-04-26 18:25:33.907 [main] INFO  com.tfm.digital_signature - Envío de fichero "DSSR_EXA_17ene23_SOL.pdf" a usuario "pepe2@mail.com" por canal "F".
2024-04-26 18:26:10.890 [main] INFO  com.tfm.digital_signature - Envío de fichero "20240425_232122.jpg" a usuario "pepe2@mail.com" por canal "F".
